No;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;No;Time;Source;Destination;Protocol;Length;Time2;Time1;Delay;Delay 2;Delay 1;Jitter
1;0.000000;192.168.43.241;10.59.82.1;TCP;66;58384  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;1;0.000000;192.168.43.241;10.59.82.1;TCP;66;0,045896;0;0,045896;0,219248;0,045896;0,173352
2;0.045896;192.168.43.241;10.59.82.1;TCP;66;58385  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;2;0.045896;192.168.43.241;10.59.82.1;TCP;66;0,265144;0,045896;0,219248;0,525162;0,219248;0,305914
3;0.265144;192.168.43.241;10.59.82.1;TCP;66;58389  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;3;0.265144;192.168.43.241;10.59.82.1;TCP;66;0,790306;0,265144;0,525162;-0,532686;0,525162;-1,057848
4;0.790306;192.168.43.241;10.59.82.1;TCP;66;58390  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;4;0.790306;192.168.43.241;10.59.82.1;TCP;66;0.257620;0,790306;-0,532686;2,03335;-0,532686;2,566036
5;0.257620;192.168.43.241;10.59.82.1;TCP;66;58386  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;5;0.257620;192.168.43.241;10.59.82.1;TCP;66;2,29097;0.257620;2,03335;5,714133;2,03335;3,680783
6;2,29097;192.168.43.241;10.59.82.1;TCP;66;58387  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;6;2,29097;192.168.43.241;10.59.82.1;TCP;66;8,005103;2,29097;5,714133;0,056027;5,714133;-5,658106
7;8,005103;192.168.43.241;10.59.82.1;TCP;66;[TCP Retransmission] 58384  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;7;8,005103;192.168.43.241;10.59.82.1;TCP;66;8,06113;8,005103;0,056027;2,200757;0,056027;2,14473
8;8,06113;192.168.43.241;10.59.82.1;TCP;66;[TCP Retransmission] 58385  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;8;8,06113;192.168.43.241;10.59.82.1;TCP;66;10,261887;8,06113;2,200757;0,035788;2,200757;-2,164969
9;10,261887;192.168.43.241;10.59.82.1;TCP;66;[TCP Retransmission] 58386  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;9;10,261887;192.168.43.241;10.59.82.1;TCP;66;10,297675;10,261887;0,035788;2,283254;0,035788;2,247466
10;10,297675;192.168.43.241;10.59.82.1;TCP;66;[TCP Retransmission] 58387  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;10;10,297675;192.168.43.241;10.59.82.1;TCP;66;12,580929;10,297675;2,283254;1,011285;2,283254;-1,271969
